0 ,  0.9360601 ,  Social norms ,  Consideration of social norms
661 ,  0.45143116 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Empower
662 ,  0.45077342 ,  Understanding the social dynamics ,  Understanding boundaries
663 ,  0.45072508 ,  Honesty and integrity ,  Consent and acceptance of differences
664 ,  0.45071322 ,  Recognition of efforts ,  Responsibility for actions
665 ,  0.45056432 ,  Empathy towards others' preferences ,  Appreciation
666 ,  0.45052403 ,  Prioritizing relationships ,  Respect for individual choices
667 ,  0.45046562 ,  Empathy towards others' situations ,  Social responsibility
668 ,  0.4504178 ,  Awareness of shared experiences ,  Empowerment through communication
669 ,  0.4502862 ,  Consent and acceptance of differences ,  Consideration of
670 ,  0.4499986 ,  Empathy towards others' preferences ,  Consent and acceptance of differences
671 ,  0.4498819 ,  Empathy towards others' preferences ,  Awareness of social norms
672 ,  0.44957474 ,  Consider ,  Recognition of efforts
673 ,  0.44957075 ,  Honesty in social interactions ,  Integrity in action
674 ,  0.4494846 ,  Fairness and honesty in decision- ,  Ethical responsibility towards others
675 ,  0.4494657 ,  Honesty in social interactions ,  Humor
676 ,  0.4494179 ,  Empathy towards others' choices ,  Fostering positive relationships
677 ,  0.4493879 ,  Understanding of Biological and Emotional Change ,  Understanding the social dynamics
678 ,  0.44928128 ,  Social norms ,  Ethical responsibility towards others
679 ,  0.4492309 ,  Respect for personal property ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
680 ,  0.4491501 ,  Respect for private property ,  Respect for others' personal choices and beliefs
681 ,  0.44903654 ,  Prioritizing relationships ,  Consideration of implications of actions
682 ,  0.44898903 ,  Respect for others' personal choices and beliefs ,  Supportiveness
683 ,  0.44895637 ,  Prioritizing relationships ,  Respect for others' personal choices and beliefs
684 ,  0.4488845 ,  Harmful effects of societal influences ,  Understanding the effects of inappropriate communication
685 ,  0.4488324 ,  Self-interest: Having ,  Empathy towards others' situations
686 ,  0.44836813 ,  Relationship building ,  Self-interest: Having
687 ,  0.4479098 ,  Personal value judgement ,  Consideration for others' opinions
688 ,  0.44786394 ,  Respect for others' feelings ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
689 ,  0.44759685 ,  Honesty and accountability ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
690 ,  0.44738203 ,  Generosity-based mental health ,  Empathy towards others' situations
691 ,  0.447356 ,  Autonomy ,  Selfishness
692 ,  0.44732857 ,  Taking responsibility ,  Self-control
693 ,  0.44727743 ,  Professionalism in behavior ,  Taking responsibility for one's own actions
694 ,  0.4472607 ,  Respect for personal property ,  Value of relationships
695 ,  0.44710267 ,  Selfishness ,  Professionalism in behavior
696 ,  0.44690788 ,  Communication ,  Healthy interpersonal relationships
697 ,  0.44687697 ,  Consideration of social norms ,  Ethical Living
698 ,  0.44678086 ,  Commitment to a cause ,  Taking responsibility for one's own actions
699 ,  0.446713 ,  Commitment to a cause ,  Integrity in action
700 ,  0.44665897 ,  Respect for the privacy of others ,  Ethical communication and support systems
701 ,  0.44648892 ,  Taking responsibility ,  Honesty and integrity
702 ,  0.44627774 ,  Respect for the individual's autonomy ,  Empowerment through communication
703 ,  0.44618672 ,  Harmful effects of societal influences ,  Consideration of implications of actions
704 ,  0.44603616 ,  Respect for the individual's autonomy ,  Consideration of social norms
705 ,  0.44597018 ,  Prioritizing relationships ,  Consideration for others' opinions
706 ,  0.44591153 ,  Respect for ,  Responsibility
707 ,  0.44589144 ,  Commitment to a cause ,  Consideration of implications of actions
708 ,  0.445863 ,  Responsibility in dealing with others ,  Consideration of social norms
709 ,  0.44551456 ,  Self-interest: Having ,  Honesty
710 ,  0.4450611 ,  Harmful effects of societal influences ,  Responsibility in dealing with others
711 ,  0.444999 ,  Selfishness ,  Supportiveness
712 ,  0.44486094 ,  Belief in one's own abilities ,  Building self-awareness
713 ,  0.44478703 ,  Appreciation ,  Recognition of efforts
714 ,  0.4447113 ,  Ethical communication and support systems ,  Taking responsibility for one's own actions
715 ,  0.44466954 ,  Compassion ,  Respect for others' possessions
716 ,  0.44448352 ,  Autonomy in decision-making ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
717 ,  0.44401485 ,  Responsibility ,  Commitment to values
718 ,  0.44382685 ,  Generosity towards those suffering ,  Consideration for others' feelings
719 ,  0.4437803 ,  Commitment to values ,  Respect for others' possessions
720 ,  0.44364792 ,  Empathy towards others' needs ,  Responsibility for actions
721 ,  0.44324517 ,  Providing feedback and support ,  Consideration for others' feelings
722 ,  0.44314045 ,  Respect for personal property ,  Selfishness
723 ,  0.44295415 ,  Empathy towards others' choices ,  Social responsibility
724 ,  0.44268703 ,  Empathy towards others' choices ,  Consent and acceptance of differences
725 ,  0.44248748 ,  Compassion ,  Responsibility
726 ,  0.4422631 ,  Commitment to a cause ,  Risk-taking
727 ,  0.44198906 ,  Value of relationships ,  Consideration of
728 ,  0.4418461 ,  Consideration of others' comfort ,  Emotional regulation
729 ,  0.44183117 ,  Integrity in personal decisions ,  Value of relationships
730 ,  0.4416805 ,  Autonomy ,  Social norms
731 ,  0.44161487 ,  Healthy interpersonal relationships ,  Friends
732 ,  0.4413607 ,  Honesty and integrity ,  Responsibility for actions
733 ,  0.4412814 ,  Selfishness ,  Taking responsibility for one's own actions
734 ,  0.44125625 ,  Communication ,  Relationship building
735 ,  0.4411732 ,  Empathy towards others' needs ,  Respect for individual choices
736 ,  0.44117114 ,  Generosity-based mental health ,  Selfishness
737 ,  0.4411431 ,  Harmful effects of societal influences ,  Social responsibility
738 ,  0.4410531 ,  Empathy towards others' choices ,  Understanding the social dynamics
739 ,  0.44102615 ,  Respect for others' personal choices and beliefs ,  Value of relationships
740 ,  0.44093436 ,  Respect for others' personal choices and beliefs ,  Consideration of social norms
741 ,  0.44081026 ,  Respect for others' personal choices and beliefs ,  Ethical Living
742 ,  0.4404485 ,  Empathy towards others' choices ,  Healthy interpersonal relationships
743 ,  0.44036025 ,  Empathy towards others' needs ,  Providing feedback and support
744 ,  0.4401816 ,  Recognition and appreciation ,  Consider
745 ,  0.43998805 ,  Respect for the individual's autonomy ,  Taking responsibility
746 ,  0.43987703 ,  Autonomy ,  Consent and acceptance of differences
747 ,  0.43969965 ,  Honesty and accountability ,  Respect for the privacy of others
748 ,  0.43937898 ,  Taking responsibility ,  Integrity in personal decisions
749 ,  0.4393325 ,  Consideration of ,  Risk-taking
750 ,  0.4391231 ,  Appreciation ,  Generosity towards those suffering
751 ,  0.4391159 ,  Honesty and integrity ,  Healthy interpersonal relationships
752 ,  0.43907413 ,  Generosity towards those suffering ,  Recognition of efforts
753 ,  0.4390065 ,  Compassion ,  Honesty and accountability
754 ,  0.4389258 ,  Integrity in action ,  Commitment to values
755 ,  0.43887365 ,  Empathy towards others' preferences ,  Harmful effects of societal influences
756 ,  0.4386245 ,  Empathy towards others' needs ,  Fostering positive relationships
757 ,  0.43848634 ,  Compassion ,  Commitment to a cause
758 ,  0.4383713 ,  Responsibility in dealing with others ,  Respect for others' possessions
759 ,  0.43833837 ,  Autonomy in decision-making ,  Consideration of implications of actions
760 ,  0.43827516 ,  Honesty and integrity ,  Humor
761 ,  0.43822068 ,  Autonomy ,  Understanding of societal norms
762 ,  0.43821463 ,  Autonomy ,  Integrity in personal decisions
763 ,  0.43811843 ,  Autonomy ,  Honesty and accountability
764 ,  0.43805134 ,  Fairness and honesty in decision- ,  Respect for the individual's autonomy
765 ,  0.43788415 ,  Awareness of shared experiences ,  Respect for the privacy of others
766 ,  0.43780696 ,  Ability to communicate effectively ,  Fostering positive relationships
767 ,  0.4377501 ,  Responsibility in dealing with others ,  Supportiveness
768 ,  0.4377036 ,  Empathy towards others' preferences ,  Commitment to values
769 ,  0.43751824 ,  Respect for others' personal choices and beliefs ,  Commitment to values
770 ,  0.43746284 ,  Collaboration ,  Friends
771 ,  0.43746093 ,  Compassion ,  Responsibility in dealing with others
772 ,  0.4372434 ,  Compassion ,  Responsibility for actions
773 ,  0.437212 ,  Belief in one's own abilities ,  Empower
774 ,  0.43718275 ,  Awareness of shared experiences ,  Understanding the social dynamics
775 ,  0.43699217 ,  Empathy towards others' choices ,  Taking responsibility for one's own actions
776 ,  0.43698418 ,  Compassion ,  Respect for others' personal choices and beliefs
777 ,  0.43695843 ,  Generosity towards those suffering ,  Fostering positive relationships
778 ,  0.4369095 ,  Understanding the social dynamics ,  Empathy towards others' situations
779 ,  0.43665177 ,  Kindness toward others ,  Commitment to values
780 ,  0.43657047 ,  Appreciation ,  Honesty
781 ,  0.4362771 ,  Empathy towards others' preferences ,  Healthy interpersonal relationships
782 ,  0.43623722 ,  Professionalism in behavior ,  Consideration of social norms
783 ,  0.43620402 ,  Understanding of Biological and Emotional Change ,  Empathy towards others' situations
784 ,  0.43618733 ,  Recognition of efforts ,  Providing feedback and support
785 ,  0.43611413 ,  Commitment to a cause ,  Empathy towards others' choices
786 ,  0.4360081 ,  Healthy interpersonal relationships ,  Honesty
787 ,  0.4360017 ,  Prioritizing relationships ,  Honesty in social interactions
788 ,  0.4359178 ,  Autonomy ,  Self-actualization
789 ,  0.43582642 ,  Respect for the privacy of others ,  Ethical Living
790 ,  0.43565643 ,  Social norms ,  Ethical Living
791 ,  0.43558806 ,  Ability to communicate effectively ,  Ethical communication and support systems
792 ,  0.435465 ,  Understanding of societal norms ,  Professionalism in behavior
793 ,  0.43529862 ,  Fairness and honesty in decision- ,  Empathy towards others' choices
794 ,  0.43513662 ,  Self-interest: Having ,  Respect for individual choices
795 ,  0.4351114 ,  Compassion ,  Honesty and integrity
796 ,  0.43474126 ,  Supportiveness ,  Emotional regulation
797 ,  0.4346959 ,  Autonomy ,  Taking responsibility for one's own actions
798 ,  0.4346196 ,  Ability to communicate effectively ,  Relationship building
799 ,  0.43425667 ,  Empathy towards others' needs ,  Value of relationships
800 ,  0.43416628 ,  Collaboration ,  Providing feedback and support
801 ,  0.43411106 ,  Respect for others' feelings ,  Value of relationships
802 ,  0.434048 ,  Honesty in social interactions ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
803 ,  0.43398303 ,  Autonomy in decision-making ,  Taking responsibility for one's own actions
804 ,  0.43389988 ,  Respect for others' personal choices and beliefs ,  Consideration of
805 ,  0.43378165 ,  Communication ,  Relationship dynamics
806 ,  0.43353206 ,  Empathy towards others' preferences ,  Autonomy
807 ,  0.433473 ,  Supportiveness ,  Consent and acceptance of differences
808 ,  0.4333688 ,  Consideration of others' comfort ,  Consideration of
809 ,  0.4333464 ,  Ethical responsibility towards others ,  Consideration of implications of actions
810 ,  0.43329483 ,  Respect for ,  Empathy towards others' choices
811 ,  0.43324858 ,  Autonomy ,  Building self-awareness
812 ,  0.43302047 ,  Ethical responsibility towards others ,  Commitment to values
813 ,  0.43271303 ,  Respect for private property ,  Respect for individual choices
814 ,  0.43266678 ,  Supportiveness ,  Commitment to values
815 ,  0.4326423 ,  Empathy towards others' choices ,  Ethical Living
816 ,  0.4325317 ,  Commitment to a cause ,  Ethical Living
817 ,  0.43247288 ,  Recognition and appreciation ,  Appreciating diversity
818 ,  0.43244955 ,  Professionalism in behavior ,  Ethical communication and support systems
819 ,  0.43199176 ,  Consequences of ,  Recognition of efforts
820 ,  0.43190366 ,  Integrity in personal decisions ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
821 ,  0.4317631 ,  Self-interest: Having ,  Consideration for others' opinions
822 ,  0.43175408 ,  Honesty and integrity ,  Commitment to values
823 ,  0.43169618 ,  Consideration of others' comfort ,  Appreciation
824 ,  0.43153584 ,  Empathy towards others' preferences ,  Social responsibility
825 ,  0.4315289 ,  Empowerment through communication ,  Responsibility for actions
826 ,  0.43151218 ,  Kindness toward others ,  Value of relationships
827 ,  0.431443 ,  Respect for the individual's autonomy ,  Social responsibility
828 ,  0.4313261 ,  Respect for diversity and difference ,  Appreciation
829 ,  0.43132317 ,  Kindness toward others ,  Consideration for others' opinions
830 ,  0.4311891 ,  Commitment to a cause ,  Empathy towards others' situations
831 ,  0.4308188 ,  Autonomy ,  Honesty and integrity
832 ,  0.43052524 ,  Empathy towards others' choices ,  Consideration of social norms
833 ,  0.43044716 ,  Respect for diversity and difference ,  Consideration for others' opinions
834 ,  0.43034738 ,  Harmful effects of societal influences ,  Empathy towards others' choices
835 ,  0.4303378 ,  Respect for personal property ,  Appreciation
836 ,  0.4303258 ,  Communication ,  Listening skills
837 ,  0.43026185 ,  Value of relationships ,  Respect for individual choices
838 ,  0.4301737 ,  Compassion ,  Empower
839 ,  0.4301334 ,  Honesty and integrity ,  Social responsibility
840 ,  0.42992866 ,  Respect for the individual's autonomy ,  Honesty and accountability
841 ,  0.42990786 ,  Empathy towards others' choices ,  Commitment to values
842 ,  0.42978752 ,  Recognition and appreciation ,  Respect for others' feelings
843 ,  0.42976412 ,  Healthy interpersonal relationships ,  Consideration for others' feelings
844 ,  0.4296564 ,  Integrity in personal decisions ,  Empathy towards others' choices
845 ,  0.42959076 ,  Integrity in personal decisions ,  Commitment to values
846 ,  0.4295854 ,  Consent and acceptance of differences ,  Ethical communication and support systems
847 ,  0.42941225 ,  Selfishness ,  Ethical Living
848 ,  0.42934775 ,  Respect for private property ,  Ethical responsibility towards others
849 ,  0.42930835 ,  Respect for ,  Consent and acceptance of differences
850 ,  0.42915425 ,  Empathy towards others' choices ,  Recognition of efforts
851 ,  0.42909503 ,  Autonomy ,  Respect for personal property
852 ,  0.42908585 ,  Prioritizing relationships ,  Consent and acceptance of differences
853 ,  0.42895097 ,  Respect for the individual's autonomy ,  Compassion
854 ,  0.42874378 ,  Respect for ,  Responsibility for actions
855 ,  0.42873877 ,  Selfishness ,  Self-control
856 ,  0.4286829 ,  Providing feedback and support ,  Commitment to values
857 ,  0.42854446 ,  Empowerment through communication ,  Honesty and accountability
858 ,  0.4284444 ,  Taking responsibility ,  Ethical communication and support systems
859 ,  0.4284282 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Understanding of societal norms
860 ,  0.42838374 ,  Respect for the individual's autonomy ,  Self-expression
861 ,  0.42835063 ,  Responsibility in dealing with others ,  Providing feedback and support
862 ,  0.4282834 ,  Respect for the individual's autonomy ,  Self-control
863 ,  0.4280693 ,  Honesty and integrity ,  Value of relationships
864 ,  0.42798978 ,  Awareness of shared experiences ,  Value of relationships
865 ,  0.42769083 ,  Respect for others' personal choices and beliefs ,  Understanding of societal norms
866 ,  0.42761764 ,  Respect for others' personal choices and beliefs ,  Responsibility for actions
867 ,  0.4274915 ,  Selfishness ,  Respect for the privacy of others
868 ,  0.42744857 ,  Ability to communicate effectively ,  Collaboration
869 ,  0.42723066 ,  Consideration for others' feelings ,  Commitment to values
870 ,  0.42701614 ,  Honesty in social interactions ,  Awareness of social norms
871 ,  0.42694175 ,  Integrity in personal decisions ,  Consideration of
872 ,  0.4269384 ,  Honesty and accountability ,  Social norms
873 ,  0.42675 ,  Consideration of ,  Responsibility
874 ,  0.4267124 ,  Empathy towards others' choices ,  Empower
875 ,  0.42658198 ,  Harmful effects of societal influences ,  Consideration for others' feelings
876 ,  0.42630857 ,  Fairness and honesty in decision- ,  Respect for diversity and difference
877 ,  0.42598245 ,  Personal value judgement ,  Respect for others' feelings
878 ,  0.4259296 ,  Compassion ,  Empowerment through communication
879 ,  0.42577323 ,  Supportiveness ,  Respect for others' possessions
880 ,  0.4257379 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Social responsibility
881 ,  0.42562038 ,  Consideration of others' comfort ,  Commitment to a cause
882 ,  0.4255976 ,  Commitment to a cause ,  Consent and acceptance of differences
883 ,  0.4254879 ,  Value of relationships ,  Understanding boundaries
884 ,  0.4254137 ,  Consideration of others' comfort ,  Value of relationships
885 ,  0.42517465 ,  Kindness toward others ,  Ethical communication and support systems
886 ,  0.42502838 ,  Empathy towards others' needs ,  Recognition of efforts
887 ,  0.425008 ,  Professionalism in behavior ,  Ethical Living
888 ,  0.42481756 ,  Respect for ,  Empathy towards others' needs
889 ,  0.42480022 ,  Openness ,  Building self-awareness
890 ,  0.4246645 ,  Harmful effects of societal influences ,  Consideration for others' opinions
891 ,  0.42458722 ,  Recognition and appreciation ,  Respect for others' possessions
892 ,  0.42448175 ,  Belief in one's own abilities ,  Respect for individual choices
893 ,  0.42440414 ,  Consequences of ,  Commitment to a cause
894 ,  0.4242918 ,  Empathy towards others' preferences ,  Generosity-based mental health
895 ,  0.42427653 ,  Empathy towards others' preferences ,  Understanding of Biological and Emotional Change
896 ,  0.4241749 ,  Respect for others' personal choices and beliefs ,  Honesty and integrity
897 ,  0.42392245 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Honesty
898 ,  0.42380023 ,  Kindness toward others ,  Respect for individual choices
899 ,  0.42353538 ,  Personal value judgement ,  Respect for others' possessions
900 ,  0.4234903 ,  Consideration of others' comfort ,  Fostering a relationship
901 ,  0.42342812 ,  Empowerment through communication ,  Building self-awareness
902 ,  0.42337132 ,  Recognition of efforts ,  Consideration for others' feelings
903 ,  0.42330635 ,  Consent and acceptance of differences ,  Responsibility for actions
904 ,  0.4232968 ,  Selfishness ,  Honesty in social interactions
905 ,  0.4232331 ,  Empathy towards others' needs ,  Healthy interpersonal relationships
906 ,  0.42320472 ,  Respect for the individual's autonomy ,  Responsibility
907 ,  0.42294627 ,  Respect for others' feelings ,  Consent and acceptance of differences
908 ,  0.42267555 ,  Fostering positive relationships ,  Consideration for others' feelings
909 ,  0.42265266 ,  Awareness of shared experiences ,  Respect for others' personal choices and beliefs
910 ,  0.42261815 ,  Selfishness ,  Self-actualization
911 ,  0.42247567 ,  Recognition of efforts ,  Commitment to values
912 ,  0.4222926 ,  Consideration for others' feelings ,  Consideration of social norms
913 ,  0.42226243 ,  Empower ,  Generosity towards those suffering
914 ,  0.422028 ,  Prioritizing relationships ,  Integrity in personal decisions
915 ,  0.42202294 ,  Collaboration ,  Healthy interpersonal relationships
916 ,  0.42142138 ,  Commitment to a cause ,  Empowerment through communication
917 ,  0.42133892 ,  Recognition and appreciation ,  Honesty and integrity
918 ,  0.4213211 ,  Professionalism in behavior ,  Cultural norms
919 ,  0.42119065 ,  Commitment to a cause ,  Fostering a relationship
920 ,  0.42118874 ,  Respect for personal property ,  Integrity in action
921 ,  0.421129 ,  Relationship building ,  Empowerment through communication
922 ,  0.420981 ,  Autonomy ,  Respect for others' personal choices and beliefs
923 ,  0.42093602 ,  Self-control ,  Responsibility for actions
924 ,  0.42092907 ,  Selfishness ,  Building self-awareness
925 ,  0.42083168 ,  Autonomy ,  Consideration of social norms
926 ,  0.42081323 ,  Communication ,  Awareness of shared experiences
927 ,  0.42064714 ,  Self-interest: Having ,  Ethical Living
928 ,  0.42060947 ,  Understanding the effects of inappropriate communication ,  Empathy towards others' situations
929 ,  0.42060918 ,  Autonomy in decision-making ,  Self-actualization
930 ,  0.42055434 ,  Harmful effects of societal influences ,  Respect for others' personal choices and beliefs
931 ,  0.42040503 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Commitment to values
932 ,  0.42038843 ,  Respect for diversity and difference ,  Respect for others' possessions
933 ,  0.4203374 ,  Kindness toward others ,  Responsibility for actions
934 ,  0.42032415 ,  Awareness of shared experiences ,  Understanding the effects of inappropriate communication
935 ,  0.4202577 ,  Autonomy in decision-making ,  Empathy towards others' choices
936 ,  0.41988724 ,  Communication ,  Understanding the social dynamics
937 ,  0.41984975 ,  Empathy towards others' preferences ,  Responsibility for actions
938 ,  0.4195531 ,  Honesty and integrity ,  Appreciation
939 ,  0.4194945 ,  Consideration for others' feelings ,  Responsibility for actions
940 ,  0.41944295 ,  Kindness toward others ,  Ethical Living
941 ,  0.41930726 ,  Communication ,  Value of relationships
942 ,  0.41919297 ,  Commitment to personal goals ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self
943 ,  0.41918635 ,  Generosity-based mental health ,  Ethical responsibility towards others
944 ,  0.41910183 ,  Honesty and accountability ,  Humor
945 ,  0.4190184 ,  Respect for others' feelings ,  Self-interest: Having
946 ,  0.41886854 ,  Generosity-based mental health ,  Fostering a relationship
947 ,  0.41849628 ,  Respect for personal property ,  Taking responsibility for one's own actions
948 ,  0.41843688 ,  Taking responsibility ,  Professionalism in behavior
949 ,  0.41837436 ,  Honesty and integrity ,  Taking responsibility for one's own actions
950 ,  0.41826648 ,  Empathy towards others' choices ,  Providing feedback and support
951 ,  0.41809133 ,  Empowerment through communication ,  Empathy towards others' needs
952 ,  0.4180371 ,  Autonomy ,  Responsibility
953 ,  0.41803545 ,  Understanding of societal norms ,  Ethical Living
954 ,  0.41801932 ,  Empathy towards others' preferences ,  Commitment to a cause
955 ,  0.41785243 ,  Ethical communication and support systems ,  Empathy towards others' situations
956 ,  0.41779694 ,  Respect for personal property ,  Consent and acceptance of differences
957 ,  0.41779 ,  Empathy towards others' situations ,  Ethical Living
958 ,  0.41775167 ,  Harmful effects of societal influences ,  Risk-taking
959 ,  0.4176665 ,  Kindness toward others ,  Professionalism in behavior
960 ,  0.41758966 ,  Understanding of Biological and Emotional Change ,  Commitment to a cause
961 ,  0.41757804 ,  Fairness and honesty in decision- ,  Respect for the privacy of others
962 ,  0.41754597 ,  Respect for the individual's autonomy ,  Ethical Living
963 ,  0.41745317 ,  Autonomy in decision-making ,  Professionalism in behavior
964 ,  0.41736847 ,  Autonomy ,  Empathy towards others' choices
965 ,  0.4173107 ,  Respect for the privacy of others ,  Taking responsibility for one's own actions
966 ,  0.4172762 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Responsibility for actions
967 ,  0.41726446 ,  Autonomy in decision-making ,  Self-control
968 ,  0.41725925 ,  Honesty and accountability ,  Consent and acceptance of differences
969 ,  0.41717848 ,  Autonomy ,  Ethical Living
970 ,  0.41711226 ,  Consideration of others' comfort ,  Consent and acceptance of differences
971 ,  0.4170515 ,  Respect for the privacy of others ,  Honesty
972 ,  0.4169799 ,  Empathy towards others' preferences ,  Fostering positive relationships
973 ,  0.41681755 ,  Compassion ,  Respect for personal property
974 ,  0.41680035 ,  Taking responsibility ,  Consent and acceptance of differences
975 ,  0.416781 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Ethical responsibility towards others
976 ,  0.41672766 ,  Responsibility for actions ,  Consideration of social norms
977 ,  0.4166165 ,  Appreciation ,  Consider
978 ,  0.41657686 ,  Ability to communicate effectively ,  Providing feedback and support
979 ,  0.41635185 ,  Understanding the social dynamics ,  Ethical communication and support systems
980 ,  0.41624558 ,  Understanding of Biological and Emotional Change ,  Empathy towards others' needs
981 ,  0.4161188 ,  Autonomy in decision-making ,  Consider
982 ,  0.4160697 ,  Honesty and accountability ,  Commitment to values
983 ,  0.41596234 ,  Selfishness ,  Social responsibility
984 ,  0.41585413 ,  Honesty and integrity ,  Selfishness
985 ,  0.41572028 ,  Recognition and appreciation ,  Respect for individual choices
986 ,  0.41571718 ,  Honesty in social interactions ,  Ethical responsibility towards others
987 ,  0.41570735 ,  Consideration of ,  Responsibility for actions
988 ,  0.41570032 ,  Respect for diversity and difference ,  Consideration of
989 ,  0.41560864 ,  Generosity-based mental health ,  Empathy towards others' choices
990 ,  0.41545856 ,  Supportiveness ,  Recognition of efforts
991 ,  0.41536605 ,  Empathy towards others' needs ,  Understanding the social dynamics
992 ,  0.41532356 ,  Respect for the individual's autonomy ,  Professionalism in behavior
993 ,  0.41528946 ,  Professionalism in behavior ,  Empathy towards others' situations
994 ,  0.41528153 ,  Respect for personal property ,  Responsibility for actions
995 ,  0.4149816 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Consideration for others' opinions
996 ,  0.4149371 ,  Understanding of societal norms ,  Empathy towards others' situations
997 ,  0.41490608 ,  Autonomy in decision-making ,  Belief in one's own abilities
998 ,  0.4148841 ,  Awareness of shared experiences ,  Respect for others' feelings
999 ,  0.41483065 ,  Fairness and honesty in decision- ,  Responsibility in dealing with others
1000 ,  0.41481233 ,  Kindness toward others ,  Awareness of shared experiences
1001 ,  0.41459942 ,  Responsibility in dealing with others ,  Selfishness
1002 ,  0.41454098 ,  Empathy towards others' preferences ,  Empower
1003 ,  0.4144948 ,  Relationship dynamics ,  Empathy towards others' situations
1004 ,  0.41441447 ,  Respect for the individual's autonomy ,  Kindness toward others
1005 ,  0.41436195 ,  Empathy towards others' preferences ,  Taking responsibility for one's own actions
1006 ,  0.41436034 ,  Responsibility ,  Recognition of efforts
1007 ,  0.41426337 ,  Consideration of others' comfort ,  Consideration of implications of actions
1008 ,  0.4139552 ,  Respect for individual choices ,  Commitment to values
1009 ,  0.41391763 ,  Professionalism in behavior ,  Respect for individual choices
1010 ,  0.41390845 ,  Fostering a relationship ,  Empathy towards others' situations
1011 ,  0.41383946 ,  Professionalism in behavior ,  Responsibility
1012 ,  0.41359296 ,  Fairness and honesty in decision- ,  Ethical Living
1013 ,  0.41353017 ,  Kindness toward others ,  Social norms
1014 ,  0.41340476 ,  Recognition and appreciation ,  Empower
1015 ,  0.41339773 ,  Fairness and honesty in decision- ,  Ethical communication and support systems
1016 ,  0.4133879 ,  Autonomy in decision-making ,  Responsibility for actions
1017 ,  0.41337362 ,  Consideration of the self-initiated; Respect for individual autonomy and dignity; Self-discipline and esteem; Self ,  Respect for others' possessions
1018 ,  0.41300243 ,  Recognition and appreciation ,  Honesty
1019 ,  0.41295516 ,  Understanding the social dynamics ,  Recognition of efforts
1020 ,  0.41279864 ,  Self-control ,  Responsibility
1021 ,  0.41251227 ,  Respect for diversity and difference ,  Value of relationships
1022 ,  0.41249508 ,  Honesty and accountability ,  Consideration of social norms
1023 ,  0.41230297 ,  Understanding the social dynamics ,  Ethical Living
1024 ,  0.41215292 ,  Awareness of social norms ,  Respect for the privacy of others
1025 ,  0.41193947 ,  Respect for diversity and difference ,  Kindness toward others
1026 ,  0.4119258 ,  Empathy towards others' preferences ,  Building self-awareness
1027 ,  0.41191888 ,  Compassion ,  Selfishness
1028 ,  0.41187498 ,  Respect for personal property ,  Consideration for others' feelings
1029 ,  0.4116587 ,  Empathy towards others' situations ,  Honesty
1030 ,  0.41157416 ,  Honesty in social interactions ,  Supportiveness
1031 ,  0.41155437 ,  Responsibility for actions ,  Respect for others' possessions
1032 ,  0.41152143 ,  Recognition and appreciation ,  Commitment to values
1033 ,  0.4115212 ,  Value of relationships ,  Self-interest: Having
1034 ,  0.41146666 ,  Generosity-based mental health ,  Understanding the social dynamics
1035 ,  0.4114504 ,  Compassion ,  Honesty
1036 ,  0.41141486 ,  Understanding the effects of inappropriate communication ,  Responsibility for actions
1037 ,  0.4113894 ,  Consideration for others' opinions ,  Consideration of social norms
1038 ,  0.41137868 ,  Ability to communicate effectively ,  Fostering a relationship
1039 ,  0.41123334 ,  Understanding the effects of inappropriate communication ,  Integrity in personal decisions
1040 ,  0.41120264 ,  Autonomy in decision-making ,  Responsibility in dealing with others
1041 ,  0.4111097 ,  Taking responsibility for one's own actions ,  Ethical Living
1042 ,  0.4111057 ,  Recognition of efforts ,  Building self-awareness
1043 ,  0.4110067 ,  Kindness toward others ,  Understanding the social dynamics
1044 ,  0.41099 ,  Compassion ,  Ethical communication and support systems
1045 ,  0.41098952 ,  Empathy towards others' needs ,  Ethical Living
1046 ,  0.41087878 ,  Consent and acceptance of differences ,  Integrity in action
1047 ,  0.41067606 ,  Prioritizing relationships ,  Awareness of shared experiences
1048 ,  0.4105592 ,  Consideration of ,  Commitment to values
